2017-05-22 17:48:46 ===== Starting: DragonExperiment =====
2017-05-22 17:48:46 Reading DragonExperiment-old.dat...
2017-05-22 17:48:46 Backup done.
2017-05-22 17:48:46 Samples = 1; Results = 0; Mismatches = 0.
2017-05-22 17:48:46 Run
2017-05-22 17:48:46 id = 0 (cpu1); Seed = 0; Starting from setInProgress
2017-05-22 17:48:46 id = 0 (cpu1); Seed = 0; Error: execvp: Permission denied
2017-05-22 17:48:46 id = 0 stopped. RunningProcessors = 0
2017-05-22 17:48:46 Stop
2017-05-22 18:40:02 ===== Starting: DragonExperiment =====
2017-05-22 18:40:02 Found existing DragonExperiment.dat
2017-05-22 18:40:02 Removing DragonExperiment-old.dat
2017-05-22 18:40:02 Renaming DragonExperiment.dat to DragonExperiment-old.dat
2017-05-22 18:40:02 Reading DragonExperiment-old.dat...
2017-05-22 18:40:02 Backup done.
2017-05-22 18:40:02 Samples = 1; Results = 0; Mismatches = 0.
2017-05-22 18:40:02 Run
2017-05-22 18:40:02 id = 0 (cpu1); Seed = 0; Starting from setInProgress
2017-05-22 18:40:13 id = 0 (cpu1); Seed = 0; Done (0)
2017-05-22 18:40:13 id = 0 (cpu1); Seed = 1; Starting new sample
2017-05-22 18:40:19 id = 0 (cpu1); Seed = 1; Done (0)
2017-05-22 18:40:19 id = 0 (cpu1); Seed = 2; Starting new sample
2017-05-22 18:40:25 id = 0 (cpu1); Seed = 2; Done (0)
2017-05-22 18:40:25 id = 0 (cpu1); Seed = 3; Starting new sample
2017-05-22 18:40:30 id = 0 (cpu1); Seed = 3; Done (2)
2017-05-22 18:40:30 id = 0 (cpu1); Seed = 4; Starting new sample
2017-05-22 18:40:32 id = 0 (cpu1); Seed = 4; Done (2)
2017-05-22 18:40:32 id = 0 (cpu1); Seed = 5; Starting new sample
2017-05-22 18:40:36 id = 0 (cpu1); Seed = 5; Done (0)
2017-05-22 18:40:36 id = 0 (cpu1); Seed = 6; Starting new sample
2017-05-22 18:40:44 id = 0 (cpu1); Seed = 6; Done (1)
2017-05-22 18:40:44 id = 0 (cpu1); Seed = 7; Starting new sample
2017-05-22 18:40:50 id = 0 (cpu1); Seed = 7; Done (2)
2017-05-22 18:40:50 id = 0 (cpu1); Seed = 8; Starting new sample
2017-05-22 18:40:51 id = 0 (cpu1); Seed = 8; Done (1)
2017-05-22 18:40:51 id = 0 (cpu1); Seed = 9; Starting new sample
2017-05-22 18:41:00 id = 0 (cpu1); Seed = 9; Done (0)
2017-05-22 18:41:00 id = 0 (cpu1); Seed = 10; Starting new sample
2017-05-22 18:41:04 id = 0 (cpu1); Seed = 10; Done (2)
2017-05-22 18:41:04 id = 0 (cpu1); Seed = 11; Starting new sample
2017-05-22 18:41:11 id = 0 (cpu1); Seed = 11; Done (0)
2017-05-22 18:41:11 id = 0 (cpu1); Seed = 12; Starting new sample
2017-05-22 18:41:16 id = 0 (cpu1); Seed = 12; Done (0)
2017-05-22 18:41:16 id = 0 (cpu1); Seed = 13; Starting new sample
2017-05-22 18:41:23 id = 0 (cpu1); Seed = 13; Done (1)
2017-05-22 18:41:23 id = 0 (cpu1); Seed = 14; Starting new sample
2017-05-22 18:41:25 id = 0 (cpu1); Seed = 14; Done (2)
2017-05-22 18:41:25 id = 0 (cpu1); Seed = 15; Starting new sample
2017-05-22 18:41:32 id = 0 (cpu1); Seed = 15; Done (2)
2017-05-22 18:41:32 id = 0 (cpu1); Seed = 16; Starting new sample
